,Year,Bee Count
0,1994,0.014814634756841256
1,1995,0.010544340924492336
2,1996,0.008146406695557941
3,1997,0.009558888501642585
4,1998,0.009690282158022551
5,1999,0.010215856783542419
6,2000,0.009131859118407692
7,2001,0.007095257444518208
8,2002,0.007850770968703017
9,2003,0.0087048297351728
10,2004,0.006996712202233232
11,2005,0.0022336921584594355
12,2006,0.0017081175329395684
13,2007,0.0033505382376891536
14,2008,0.0
15,2009,0.004795868457868788
16,2010,0.011168460792297179
17,2011,0.004598777973298838
18,2012,0.006011259779383481
19,2013,0.009230404360692668
20,2014,0.012580942598381821
21,2015,0.9820240338706567
22,2016,1.0
23,2017,0.4895274328603052
