,floral_host,bee_genus_species,imidacloprid_ppb,percent_days_paralyzed
532,CUCURBITA,PEPONAPIS,5,0
533,CUCURBITA,PEPONAPIS,5,50
534,CUCURBITA,PEPONAPIS,20,0
535,CUCURBITA,PEPONAPIS,20,100
536,CUCURBITA,PEPONAPIS,100,100
537,CUCURBITA,PEPONAPIS,100,100
538,CUCURBITA,PEPONAPIS,100,100
539,CUCURBITA,PEPONAPIS,100,100
540,CUCURBITA,PEPONAPIS,0,0
541,CUCURBITA,PEPONAPIS,0,14
542,CUCURBITA,PEPONAPIS,5,0
543,CUCURBITA,PEPONAPIS,5,0
544,CUCURBITA,PEPONAPIS,20,100
545,CUCURBITA,PEPONAPIS,100,100
546,CUCURBITA,PEPONAPIS,100,100
547,CUCURBITA,PEPONAPIS,0,9
548,CUCURBITA,PEPONAPIS,5,0
549,CUCURBITA,PEPONAPIS,5,100
550,CUCURBITA,PEPONAPIS,20,100
551,CUCURBITA,PEPONAPIS,100,0
552,CUCURBITA,PEPONAPIS,100,0
553,CUCURBITA,PEPONAPIS,100,100
554,CUCURBITA,PEPONAPIS,100,100
555,CUCURBITA,PEPONAPIS,0,0
556,CUCURBITA,PEPONAPIS,0,0
557,CUCURBITA,PEPONAPIS,0,0
558,CUCURBITA,PEPONAPIS,0,11
559,CUCURBITA,PEPONAPIS,5,100
560,CUCURBITA,PEPONAPIS,5,0
561,CUCURBITA,PEPONAPIS,5,0
562,CUCURBITA,PEPONAPIS,5,0
563,CUCURBITA,PEPONAPIS,20,0
564,CUCURBITA,PEPONAPIS,20,50
565,CUCURBITA,PEPONAPIS,20,67
566,CUCURBITA,PEPONAPIS,20,20
567,CUCURBITA,PEPONAPIS,100,100
568,CUCURBITA,PEPONAPIS,100,100
569,CUCURBITA,PEPONAPIS,0,0
570,CUCURBITA,PEPONAPIS,0,0
571,CUCURBITA,PEPONAPIS,0,0
572,CUCURBITA,PEPONAPIS,0,0
573,CUCURBITA,PEPONAPIS,5,0
574,CUCURBITA,PEPONAPIS,5,0
